,realtime_start,realtime_end,date,value
0,2024-01-02,2024-01-02,2000-01-01,10002.179
1,2024-01-02,2024-01-02,2000-04-01,10247.72
2,2024-01-02,2024-01-02,2000-07-01,10318.165
3,2024-01-02,2024-01-02,2000-10-01,10435.744
4,2024-01-02,2024-01-02,2001-01-01,10470.231
5,2024-01-02,2024-01-02,2001-04-01,10599.0
6,2024-01-02,2024-01-02,2001-07-01,10598.02
7,2024-01-02,2024-01-02,2001-10-01,10660.465
8,2024-01-02,2024-01-02,2002-01-01,10783.5
9,2024-01-02,2024-01-02,2002-04-01,10887.46
10,2024-01-02,2024-01-02,2002-07-01,10984.04
11,2024-01-02,2024-01-02,2002-10-01,11061.433
12,2024-01-02,2024-01-02,2003-01-01,11174.129
13,2024-01-02,2024-01-02,2003-04-01,11312.766
14,2024-01-02,2024-01-02,2003-07-01,11566.669
15,2024-01-02,2024-01-02,2003-10-01,11772.234
16,2024-01-02,2024-01-02,2004-01-01,11923.447
17,2024-01-02,2024-01-02,2004-04-01,12112.815
18,2024-01-02,2024-01-02,2004-07-01,12305.307
19,2024-01-02,2024-01-02,2004-10-01,12527.214
20,2024-01-02,2024-01-02,2005-01-01,12767.286
21,2024-01-02,2024-01-02,2005-04-01,12922.656
22,2024-01-02,2024-01-02,2005-07-01,13142.642
23,2024-01-02,2024-01-02,2005-10-01,13324.204
24,2024-01-02,2024-01-02,2006-01-01,13599.16
25,2024-01-02,2024-01-02,2006-04-01,13753.424
26,2024-01-02,2024-01-02,2006-07-01,13870.188
27,2024-01-02,2024-01-02,2006-10-01,14039.56
28,2024-01-02,2024-01-02,2007-01-01,14215.651
29,2024-01-02,2024-01-02,2007-04-01,14402.082
30,2024-01-02,2024-01-02,2007-07-01,14564.117
31,2024-01-02,2024-01-02,2007-10-01,14715.058
32,2024-01-02,2024-01-02,2008-01-01,14706.538
33,2024-01-02,2024-01-02,2008-04-01,14865.701
34,2024-01-02,2024-01-02,2008-07-01,14898.999
35,2024-01-02,2024-01-02,2008-10-01,14608.209
36,2024-01-02,2024-01-02,2009-01-01,14430.902
37,2024-01-02,2024-01-02,2009-04-01,14381.236
38,2024-01-02,2024-01-02,2009-07-01,14448.882
39,2024-01-02,2024-01-02,2009-10-01,14651.249
40,2024-01-02,2024-01-02,2010-01-01,14764.61
41,2024-01-02,2024-01-02,2010-04-01,14980.193
42,2024-01-02,2024-01-02,2010-07-01,15141.607
43,2024-01-02,2024-01-02,2010-10-01,15309.474
44,2024-01-02,2024-01-02,2011-01-01,15351.448
45,2024-01-02,2024-01-02,2011-04-01,15557.539
46,2024-01-02,2024-01-02,2011-07-01,15647.68
47,2024-01-02,2024-01-02,2011-10-01,15842.259
48,2024-01-02,2024-01-02,2012-01-01,16068.805
49,2024-01-02,2024-01-02,2012-04-01,16207.115
50,2024-01-02,2024-01-02,2012-07-01,16319.541
51,2024-01-02,2024-01-02,2012-10-01,16420.419
52,2024-01-02,2024-01-02,2013-01-01,16648.189
53,2024-01-02,2024-01-02,2013-04-01,16728.687
54,2024-01-02,2024-01-02,2013-07-01,16953.838
55,2024-01-02,2024-01-02,2013-10-01,17192.019
56,2024-01-02,2024-01-02,2014-01-01,17197.738
57,2024-01-02,2024-01-02,2014-04-01,17518.508
58,2024-01-02,2024-01-02,2014-07-01,17804.228
59,2024-01-02,2024-01-02,2014-10-01,17912.079
60,2024-01-02,2024-01-02,2015-01-01,18063.529
61,2024-01-02,2024-01-02,2015-04-01,18279.784
62,2024-01-02,2024-01-02,2015-07-01,18401.626
63,2024-01-02,2024-01-02,2015-10-01,18435.137
64,2024-01-02,2024-01-02,2016-01-01,18525.933
65,2024-01-02,2024-01-02,2016-04-01,18711.702
66,2024-01-02,2024-01-02,2016-07-01,18892.639
67,2024-01-02,2024-01-02,2016-10-01,19089.379
68,2024-01-02,2024-01-02,2017-01-01,19280.084
69,2024-01-02,2024-01-02,2017-04-01,19438.643
70,2024-01-02,2024-01-02,2017-07-01,19692.595
71,2024-01-02,2024-01-02,2017-10-01,20037.088
72,2024-01-02,2024-01-02,2018-01-01,20328.553
73,2024-01-02,2024-01-02,2018-04-01,20580.912
74,2024-01-02,2024-01-02,2018-07-01,20798.73
75,2024-01-02,2024-01-02,2018-10-01,20917.867
76,2024-01-02,2024-01-02,2019-01-01,21104.133
77,2024-01-02,2024-01-02,2019-04-01,21384.775
78,2024-01-02,2024-01-02,2019-07-01,21694.282
79,2024-01-02,2024-01-02,2019-10-01,21902.39
80,2024-01-02,2024-01-02,2020-01-01,21706.513
81,2024-01-02,2024-01-02,2020-04-01,19913.143
82,2024-01-02,2024-01-02,2020-07-01,21647.64
83,2024-01-02,2024-01-02,2020-10-01,22024.502
84,2024-01-02,2024-01-02,2021-01-01,22600.185
85,2024-01-02,2024-01-02,2021-04-01,23292.362
86,2024-01-02,2024-01-02,2021-07-01,23828.973
87,2024-01-02,2024-01-02,2021-10-01,24654.603
88,2024-01-02,2024-01-02,2022-01-01,25029.116
89,2024-01-02,2024-01-02,2022-04-01,25544.273
90,2024-01-02,2024-01-02,2022-07-01,25994.639
91,2024-01-02,2024-01-02,2022-10-01,26408.405
92,2024-01-02,2024-01-02,2023-01-01,26813.601
93,2024-01-02,2024-01-02,2023-04-01,27063.012
94,2024-01-02,2024-01-02,2023-07-01,27610.128
